GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assignment-javaspring,com.assignment.util,DateUtil,0,8,0,0,0,2,0,2,0,2
assignment-javaspring,com.assignment.dto,LoginDto,0,23,0,0,0,8,0,6,0,6
assignment-javaspring,com.assignment.dto,StatementDto,25,60,0,0,7,16,6,3,6,3
assignment-javaspring,com.assignment.api.v1.rest,StatementController,0,100,0,0,0,16,0,4,0,4
assignment-javaspring,com.assignment.api.v1.rest,UserJWTController,52,9,0,0,10,4,2,1,2,1
assignment-javaspring,com.assignment.api.v1.rest,UserJWTController.JWTToken,13,0,0,0,6,0,3,0,3,0
assignment-javaspring,com.assignment.security,CustomUserDetailsService,0,80,1,5,0,17,1,6,0,4
assignment-javaspring,com.assignment.security,SessionExistException,5,4,0,0,2,2,1,1,1,1
assignment-javaspring,com.assignment.security,SecurityUtils,11,95,5,11,4,19,5,14,0,11
assignment-javaspring,com.assignment.service.impl,StatementServiceImpl,0,171,0,16,0,27,0,19,0,11
assignment-javaspring,com.assignment.aop.logging,LoggingAspect,83,3,6,0,18,1,8,1,5,1
assignment-javaspring,com.assignment.config,LoggingAspectConfiguration,0,7,0,0,0,2,0,2,0,2
assignment-javaspring,com.assignment.config,SwaggerConfig,0,13,0,0,0,5,0,2,0,2
assignment-javaspring,com.assignment.config,SecurityConfiguration,0,71,0,0,0,23,0,4,0,4
assignment-javaspring,com.assignment.config,SecurityConfiguration.new AccessDeniedHandler() {...},5,6,0,0,2,1,1,1,1,1
assignment-javaspring,com.assignment.domain,User,0,92,0,8,0,31,0,19,0,15
assignment-javaspring,com.assignment.domain,AccountRowMapper,0,22,0,2,0,4,0,3,0,2
assignment-javaspring,com.assignment.domain,StatementRowMapper,0,22,0,0,0,4,0,2,0,2
assignment-javaspring,com.assignment.domain,Statement,0,88,0,8,0,27,0,17,0,13
assignment-javaspring,com.assignment.domain,Account,0,72,0,8,0,23,0,15,0,11
assignment-javaspring,com.assignment.domain,UserRowMapper,0,28,0,2,0,5,0,3,0,2
assignment-javaspring,com.assignment,AssignmentJavaspringApplication,5,3,0,0,2,1,1,1,1,1
assignment-javaspring,com.assignment.api.v1.rest.error,GlobalExceptionHandler,0,113,1,3,0,17,1,6,0,5
assignment-javaspring,com.assignment.api.v1.rest.error,ApiErrorResponse,11,48,0,0,2,17,2,5,2,5
assignment-javaspring,com.assignment.api.v1.rest.error,StatementSearchException,0,18,0,0,0,7,0,3,0,3
assignment-javaspring,com.assignment.api.v1.rest.validator,StatementSearchValidator,0,141,0,14,0,44,0,15,0,8
assignment-javaspring,com.assignment.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
assignment-javaspring,com.assignment.security.jwt,JWTFilter,0,65,0,10,0,17,0,8,0,3
assignment-javaspring,com.assignment.security.jwt,TokenProvider,1,172,1,1,0,40,1,7,0,7
assignment-javaspring,com.assignment.dao.impl,UserDaoImpl,0,58,0,0,0,12,0,4,0,4
assignment-javaspring,com.assignment.dao.impl,StatementDaoImpl,0,35,0,2,0,9,0,3,0,2
assignment-javaspring,com.assignment.dao.impl,AccountDaoImpl,0,23,0,0,0,5,0,2,0,2
